region,spp.name,extant,env.opt,time.of.origin,time.of.extinction,time.of.sp.origin,time.of.sp.extinction,reg.env,carry.cap
7,139,0,34.5279754870518,581,582,532,30001,25.4545454545455,10000
7,198,0,34.2863233829769,581,582,559,30001,25.4545454545455,10000
7,233,0,33.8798468565153,581,582,570,30001,25.4545454545455,10000
7,179,0,33.481958472877,582,587,553,30001,25.4545454545455,10000
7,182,0,34.9169784284432,582,583,554,30001,25.4545454545455,10000
7,65,0,35.1720999555555,533,534,474,30001,25.4545454545455,10000
7,249,0,33.8069016594751,583,584,578,30001,25.4545454545455,10000
7,75,0,34.4079094183507,584,585,482,30001,25.4545454545455,10000
7,148,0,34.4667448406755,585,586,539,30001,25.4545454545455,10000
7,6,0,34.5075419223446,460,461,294,30001,25.4545454545455,10000
7,39,0,36.1146575709417,529,530,441,30001,25.4545454545455,10000
7,111,0,33.203436578687,585,586,516,30001,25.4545454545455,10000
7,142,0,32.6556095972733,586,593,533,30001,25.4545454545455,10000
7,121,0,35.6141977051535,587,588,522,30001,25.4545454545455,10000
7,112,0,33.6298927764838,587,588,517,30001,25.4545454545455,10000
7,82,0,34.8470570074541,587,588,490,30001,25.4545454545455,10000
7,17,0,35.6291014971152,587,588,372,30001,25.4545454545455,10000
7,213,0,35.6417147134693,588,589,564,30001,25.4545454545455,10000
7,247,0,33.9287599871295,588,593,577,30001,25.4545454545455,10000
7,26,0,34.7574614913368,588,589,400,30001,25.4545454545455,10000
7,32,0,35.7424297637628,589,590,419,30001,25.4545454545455,10000
7,206,0,33.7602008093554,589,590,562,30001,25.4545454545455,10000
7,111,0,33.203436578687,590,603,516,30001,25.4545454545455,10000
7,70,0,34.71398068714,591,592,480,30001,25.4545454545455,10000
7,233,0,33.8798468565153,591,594,570,30001,25.4545454545455,10000
7,55,0,35.2114087564881,564,565,463,30001,25.4545454545455,10000
7,90,0,33.2008517759557,567,570,499,30001,25.4545454545455,10000
7,221,0,33.2397850608726,593,594,567,30001,25.4545454545455,10000
7,208,0,35.3933428286793,594,595,563,30001,25.4545454545455,10000
7,112,0,33.6298927764838,596,597,517,30001,25.4545454545455,10000
7,75,0,34.4079094183507,597,598,482,30001,25.4545454545455,10000
7,258,0,34.4650634918162,597,599,581,30001,25.4545454545455,10000
7,303,0,34.2499171668313,597,598,591,30001,25.4545454545455,10000
7,88,0,33.5055228217179,598,603,498,30001,25.4545454545455,10000
7,257,0,36.191061497022,598,599,581,30001,25.4545454545455,10000
