"sim.id","status","reg.of.origin","w","alpha","beta","sigma_E","carry.cap","energy.gradient","max.K","num.of.bins","max.time","max.richness","replicate","disturb_frequency","temperate_disturb_intensity","tropical_disturb_intensity","specn.gradient","specn.factor","gamma"
185,"completed","tropical",1,1e-07,1e-05,9,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
186,"completed","tropical",1,1e-07,1e-05,9,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
187,"completed","tropical",1,1e-07,1e-05,9,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
188,"completed","tropical",1,1e-07,1e-05,9,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
189,"completed","tropical",1,1e-07,1e-05,11,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
190,"completed","tropical",1,1e-07,1e-05,11,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
191,"completed","tropical",1,1e-07,1e-05,11,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
192,"completed","tropical",1,1e-07,1e-05,11,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
193,"completed","tropical",1,1e-07,1e-04,1,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
194,"completed","tropical",1,1e-07,1e-04,1,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
195,"completed","tropical",1,1e-07,1e-04,1,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
196,"completed","tropical",1,1e-07,1e-04,1,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
197,"completed","tropical",1,1e-07,1e-04,3,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
198,"completed","tropical",1,1e-07,1e-04,3,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
199,"completed","tropical",1,1e-07,1e-04,3,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
200,"completed","tropical",1,1e-07,1e-04,3,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
201,"completed","tropical",1,1e-07,1e-04,5,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
202,"completed","tropical",1,1e-07,1e-04,5,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
203,"completed","tropical",1,1e-07,1e-04,5,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
204,"completed","tropical",1,1e-07,1e-04,5,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
205,"completed","tropical",1,1e-07,1e-04,7,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
206,"completed","tropical",1,1e-07,1e-04,7,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
207,"completed","tropical",1,1e-07,1e-04,7,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
208,"completed","tropical",1,1e-07,1e-04,7,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
209,"completed","tropical",1,1e-07,1e-04,9,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
210,"completed","tropical",1,1e-07,1e-04,9,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
211,"completed","tropical",1,1e-07,1e-04,9,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
212,"completed","tropical",1,1e-07,1e-04,9,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
213,"completed","tropical",1,1e-07,1e-04,11,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
214,"completed","tropical",1,1e-07,1e-04,11,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
215,"completed","tropical",1,1e-07,1e-04,11,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
216,"completed","tropical",1,1e-07,1e-04,11,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
217,"completed","tropical",3,1e-05,1e-04,1,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
218,"completed","tropical",3,1e-05,1e-04,1,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
219,"completed","tropical",3,1e-05,1e-04,1,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
220,"completed","tropical",3,1e-05,1e-04,1,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
221,"completed","tropical",3,1e-05,1e-04,3,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
222,"completed","tropical",3,1e-05,1e-04,3,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
223,"completed","tropical",3,1e-05,1e-04,3,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
224,"completed","tropical",3,1e-05,1e-04,3,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
225,"completed","tropical",3,1e-05,1e-04,5,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
226,"completed","tropical",3,1e-05,1e-04,5,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
227,"completed","tropical",3,1e-05,1e-04,5,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
228,"completed","tropical",3,1e-05,1e-04,5,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
229,"completed","tropical",3,1e-05,1e-04,7,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
230,"completed","tropical",3,1e-05,1e-04,7,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
231,"completed","tropical",3,1e-05,1e-04,7,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
232,"completed","tropical",3,1e-05,1e-04,7,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
233,"completed","tropical",3,1e-05,1e-04,9,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
234,"completed","tropical",3,1e-05,1e-04,9,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
235,"completed","tropical",3,1e-05,1e-04,9,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
