experiment,treatment,sim.id,status,reg.of.origin,w,alpha,beta,sigma_E,carry.cap,energy.gradient,max.K,num.of.bins,max.time,max.richness,replicate,disturb_frequency,temperate_disturb_intensity,tropical_disturb_intensity,specn.gradient,specn.factor,gamma
nic,M,6134,completed,tropical,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
nic,M,6135,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
nic,M,6136,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
nic,M,6137,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
nic,M,6138,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
nic,M,6139,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
nic,M,6140,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
nic,M,6141,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
nic,M,6142,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
nic,M,6143,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
nic,M,6144,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
nic,H,6145,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
nic,H,6146,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
nic,H,6147,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
nic,H,6148,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
nic,H,6149,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
nic,H,6150,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
nic,H,6151,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
nic,H,6152,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
nic,H,6153,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
nic,H,6154,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
nic,H,6155,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
nic,H,6156,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
nic,H,6157,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
nic,H,6158,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
nic,H,6159,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
nic,H,6160,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
nic,H,6161,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
nic,H,6162,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
nic,H,6163,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
nic,H,6164,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
dis,L,6165,completed,tropical,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
dis,L,6166,completed,tropical,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
dis,L,6167,completed,tropical,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
dis,L,6168,completed,tropical,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
dis,L,6169,completed,tropical,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
dis,L,6170,completed,tropical,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
dis,L,6171,completed,tropical,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
dis,L,6172,completed,tropical,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
dis,L,6173,completed,tropical,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
dis,L,6174,completed,tropical,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
dis,L,6175,completed,temperate,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
dis,L,6176,completed,temperate,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
dis,L,6177,completed,temperate,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
dis,L,6178,completed,temperate,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
dis,L,6179,completed,temperate,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
dis,L,6180,completed,temperate,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
dis,L,6181,completed,temperate,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
dis,L,6182,completed,temperate,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
dis,L,6183,completed,temperate,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
dis,L,6184,completed,temperate,3,1.00E-06,1.00E-06,1,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
dis,H,6185,completed,tropical,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
dis,H,6186,completed,tropical,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
dis,H,6187,completed,tropical,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
