sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,n.regions,clade.origin.time
316,5080,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,657
316,5081,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,397
316,5081,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,397
316,5081,764,0.970736514103503,0.154391348015876,0.99028229600855,0.0888237853889584,0.769454726463107,0.441056122364457,-0.805574120889843,0.403714024862751,0.673152025884142,0.529879907753417,-0.715346424199365,0.49253781025171,3,397
316,5082,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,397
316,5082,764,0.978315372642387,0.132818641557841,0.996195679734046,0.0555483847930844,-0.937443800771799,0.226370955531889,NA,NA,-0.903539263273977,0.281919340324974,NA,NA,3,397
316,5083,764,0.915095042850177,0.264230800017435,0.957185972603854,0.186960543252678,-0.768944398126632,0.441564542968907,NA,NA,-0.550957732245784,0.628525086221585,NA,NA,3,397
316,5084,764,0.818502413888662,0.389609339876064,0.964578856876938,0.169948270015608,0.945712508137645,0.210731564552444,NA,NA,0.997948715788673,0.0407832945368369,NA,NA,3,397
316,5085,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,397
316,5086,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,397
316,5087,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,686
316,5088,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,686
316,5089,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,686
316,5090,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,686
316,5091,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,686
316,5092,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,728
316,5093,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,691
316,5094,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,731
316,5095,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,755
316,5096,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,690
316,5097,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,690
316,5098,764,0.998421453245689,0.0357751111425197,0.944911182523068,0.212295615009657,-0.988043568220875,0.0985438635188206,NA,NA,-0.883147826354499,0.310839478528477,NA,NA,3,683
316,5099,764,0.978450028742232,0.132404116482879,0.960768922830523,0.178912375022066,-0.990536064687909,0.0876544783360867,NA,NA,-0.989743318610787,0.0912578966859794,NA,NA,3,683
316,5100,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,683
316,5101,764,0.998442770921288,0.0355326622116627,0.866025403784439,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,3,724
316,5102,764,0.998442770921288,0.0355326622116627,0.866025403784439,0.333333333333333,NA,NA,NA,NA,0.866025403784439,0.333333333333333,NA,NA,3,724
316,5103,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,724
316,5104,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,614
316,5105,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,568
316,5106,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,568
316,5107,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,568
316,5108,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,670
316,5109,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,648
316,5110,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,648
316,5111,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,648
316,5112,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,662
316,5113,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,662
316,5114,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,662
316,5115,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,662
316,5116,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,690
316,5117,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,452
316,5117,764,0.936181096573556,0.228668836395386,0.986999178474398,0.102766640613821,0.857981250585707,0.343437023677757,0.99201465739882,0.0805065694538589,0.76426525662788,0.446203664291578,0.999388750374032,0.0222600711599608,3,452
316,5118,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,452
316,5118,764,0.959790674009849,0.181144265229034,0.972263032730343,0.150291211780174,-0.972577460557834,0.149432973402374,-0.973027330018261,0.148196561455742,-0.891203131444789,0.299724185182548,-0.892082418556406,0.298487773235916,3,452
316,5119,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,452
316,5119,764,0.982522854029716,0.119196892417691,0.944911182523068,0.212295615009657,-0.991608722287842,0.0825302815650198,NA,NA,-0.979297494200679,0.129765333444637,NA,NA,3,452
316,5120,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,452
316,5121,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,452
316,5122,764,0.999787482730572,0.0131250185515992,0.970725343394151,0.154420958311266,-0.197436797434746,0.87347655779958,NA,NA,-0.427121098088624,0.719055599488314,NA,NA,3,557
316,5123,764,0.954847095563667,0.192037393573665,0.866025403784439,0.333333333333333,NA,NA,NA,NA,0.866025403784439,0.333333333333333,NA,NA,3,557
316,5124,764,0.997821949235645,0.0420250247085687,0.866025403784439,0.333333333333333,NA,NA,NA,NA,0.866025403784439,0.333333333333333,NA,NA,3,686
316,5125,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,686
316,5126,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,686
316,5127,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,754
316,5128,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,754
316,5129,764,0.917662935482247,0.260146938293006,0.866025403784439,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,3,749
316,5131,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,679
316,5132,764,0.942256135996589,0.217400402778046,0.986666070043373,0.104077765740858,0.773099035832601,0.437411099074191,NA,NA,0.866025403784438,0.333333333333333,NA,NA,3,556
316,5133,764,0.965766868281726,0.167057210207637,0.970725343394151,0.154420958311266,0.720576692122892,0.487754291644599,NA,NA,0.866025403784439,0.333333333333333,NA,NA,3,556
316,5134,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,556
316,5135,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,556
316,5136,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,556
316,5137,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,664
316,5138,764,0.999963602171725,0.00543167997200866,0.866025403784439,0.333333333333333,NA,NA,NA,NA,-0.866025403784439,0.333333333333333,NA,NA,3,638
316,5139,764,0.999375845148805,0.0224938548048566,0.866025403784439,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,3,694
316,5140,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,635
316,5141,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,635
316,5142,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,659
316,5143,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,659
316,5144,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,697
316,5145,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,707
316,5146,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,488
316,5146,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,488
316,5147,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,488
316,5147,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,488
316,5148,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,488
