sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,r.ext.reg,p.ext.reg,r.rich.ext,p.rich.ext,n.regions,clade.origin.time,global.richness,extant.richness,gamma.stat,clade.richness,BK.env,BK.reg
3325,3145,30000,0.99937788563346,0.0224570524732679,8.1790012927514e-15,0.999999999999995,-0.344865247357503,0.775849220175914,0.387527500201547,0.746658439253467,-0.938652204581151,0.22415077982408,0.921858143418794,0.253341560746527,0.000207621232904874,0.99986782421702,-0.999999978446712,0.000132175782911992,3,8151,11,11,0.676320790094951,11,0.160619621525132,0.404944526002361
3325,3146,30000,0.998921663311598,0.0295672780616383,8.17899268574068e-15,0.999999999999995,-0.170664037196572,0.890817446490753,0.286812662081155,0.814808548637376,-0.985329278164295,0.109182553509242,0.957986689296843,0.185191451362619,0.00257797953011348,0.998358805440477,-0.99999667700525,0.00164119455948098,3,13296,10,10,0.60534795282047,10,0.197603222611281,0.505097534529222
3325,3156,30000,0.403556094061976,0.427526931449732,-0.530706977090777,0.278676316691916,0.287879742000128,0.580109367227204,0.272308249500288,0.601633696828001,-0.947035335721396,0.00413359378103727,0.564478917373419,0.243213402586142,0.0197129680596553,0.970434378151149,-0.784280872699743,0.0647828958706853,6,2928,442,442,-4.4784314410742,442,2.44849509402201,2.26985789226399
3325,3157,30000,0.0178174960289788,0.97327658415587,-0.841560507602045,0.0356659500748083,0.748809743132326,0.0867201990266231,0.127391102801067,0.809947028613076,-0.961428059738311,0.00220299830158209,0.195051459085761,0.711133184743582,0.784890476206044,0.0644313753650372,-0.919750948480206,0.00940146705922668,6,3128,317,317,-3.73514909669604,317,2.7717641950511,2.87937926172545
3325,3158,30000,0.438278275192819,0.384676552236846,-0.856771514015589,0.029302475627119,0.796579790059135,0.057860930766787,-0.576177468884017,0.309287865992438,-0.978083471908611,0.000715237676337928,0.934272052049087,0.0200276604164649,0.778276138103913,0.0682920708051704,-0.899402791769735,0.0146706857269811,6,3244,298,298,-3.85667612994129,298,2.50510681468459,2.68122156739941
3325,3159,30000,0.957935633942399,0.0420643660576006,-0.0860662965823883,0.913933703417612,0.982106466563214,0.0178935334367858,NA,NA,-0.141832209766854,0.858167790233146,NA,NA,0.191079747504622,0.808920252495378,-0.96152907422323,0.0384709257767697,4,3548,17,17,-0.981907145304639,17,0.189660172735294,0.165178079423132
3325,3160,30000,0.968100842202357,0.0318991577976426,0.134839972492651,0.865160027507349,0.870388279778489,0.129611720221511,NA,NA,0.258198889747166,0.741801110252834,NA,NA,-0.0673579121507405,0.93264208784926,-0.9940885255917,0.00591147440830021,4,4172,8,8,0.228484752728764,8,0.156656662468767,0.116195237542077
3325,3167,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4869,9,9,-0.475398690700035,9,0.592536623611563,1.03265199431659
3325,3175,30000,0.42246964303583,0.478554207373145,-0.797820085819499,0.105757393929574,0.705922076073702,0.182757615674913,-0.395843440913224,0.509486824857155,-0.968959290055914,0.00653429620343506,0.785218161894476,0.115562904323913,0.616946353868632,0.267634725005913,-0.834175526486911,0.0790129186433653,5,3649,281,281,-3.89507842259854,281,2.05954590469829,2.36132952317476
3325,3176,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7853,8,8,0.715017137839266,8,0.284808824663927,0.682056512091566
3325,3183,30000,0.365390047617107,0.545340952164626,-0.822655065337894,0.0872283861828772,0.751707829726999,0.142857440999006,-0.448389198907804,0.448846495397662,-0.973532566733539,0.00514837123030993,0.791216120958586,0.110863264160427,0.682451496135622,0.204265889791116,-0.845829268190931,0.0709625999048401,5,3705,273,273,-3.95772320646688,273,2.01570487690622,2.32562983549421
3325,3189,30000,0.322441802633799,0.596683615918447,-0.83994582967931,0.0749933751745161,0.785405374028892,0.115415331882354,-0.492739281645312,0.399027558660061,-0.977550890982865,0.00402406206406651,0.79800636722502,0.105614427876152,-0.102521716232004,0.86969432714735,-0.428249957286914,0.471893491282557,5,3974,267,267,-3.98407804659386,267,1.9495368017431,2.19788202238224
3325,3190,30000,0.230284336108367,0.709405397084939,-0.861163542411339,0.060789914314079,0.813355809863665,0.0940387575854413,-0.76276332168028,0.133663884438966,-0.977636087316479,0.00400122782279023,0.955281870669926,0.011275207585272,-0.0209012147576905,0.973389684606103,-0.455822652689179,0.440404470377875,5,3991,251,251,-3.91971935684694,251,1.90632069247363,2.41669323167505
3325,3191,30000,0.22968142203564,0.710152473895737,-0.862877882887791,0.059683531057675,0.817571305468167,0.0909321189862824,-0.76398243586762,0.132661212898839,-0.978466077722882,0.00378103564760003,0.953939565659424,0.0117842617336765,0.353708222313427,0.559219944341967,-0.732500613249311,0.159248259909221,5,4201,250,250,-3.92495799331564,250,1.84179324303767,2.34194989312252
3325,3192,30000,0.335250566019808,0.581282152882741,-0.879491082760129,0.0493006047893752,0.861054484436279,0.0608605120027419,-0.664371808236137,0.335628191763863,-0.959288435055771,0.00980032601901515,0.966687631099568,0.0333123689004318,-0.154784413733425,0.803712154110198,-0.24657246633089,0.689265058108641,5,4750,214,214,-4.19636555323614,214,1.39758716714085,1.9176779818746
3325,3193,30000,0.338915747120806,0.576888618963686,-0.893337356074625,0.0411413985142984,0.899007817333421,0.0379380186503677,-0.713357079308587,0.286642920691413,-0.969994660527532,0.00621108250156216,0.956514162880072,0.043485837119928,0.822986473085277,0.0869885850963921,-0.960958312113961,0.00920591443373126,5,4931,202,202,-4.17440475689195,202,1.40801029365875,1.86925485317851
3325,3199,30000,-0.0829057625004181,0.917094237499582,-0.847173159861172,0.152826840138828,0.828586167956591,0.17141383204341,-0.800703678754206,0.199296321245794,-0.985352250509123,0.0146477494908775,0.996195283512307,0.00380471648769243,0.86624676017705,0.13375323982295,-0.999222642116365,0.000777357883634972,4,6366,196,196,-4.12542297307069,196,0.967687383641942,1.22601080635058
3325,3206,30000,0.60491693679037,0.39508306320963,-0.852889583270072,0.147110416729927,0.817681083409344,0.182318916590656,-0.804877210661919,0.195122789338081,-0.973591079196927,0.0264089208030728,0.996256285336831,0.00374371466316958,0.853797171189476,0.146202828810524,-0.999843495059908,0.000156504940092091,4,6439,189,189,-4.09633057905681,189,0.832995875941518,1.05071997883158
3325,3207,30000,0.603262713194833,0.396737286805167,-0.854095772531923,0.145904227468077,0.731123558828885,0.268876441171115,-0.794194257631913,0.205805742368087,-0.909160875310473,0.0908391246895272,0.99436496138232,0.00563503861768044,0.849605065351417,0.150394934648583,-0.999805235156734,0.000194764843266213,4,6478,188,188,-4.10197011890198,188,0.778326823613879,0.935446591148819
3325,3208,30000,0.578549899821539,0.421450100178461,-0.852859342700617,0.147140657299383,0.75280210536231,0.24719789463769,-0.770450326511955,0.229549673488045,-0.931556322062665,0.0684436779373348,0.986250384932976,0.0137496150670242,0.826979187691026,0.173020812308974,-0.998838129339547,0.00116187066045305,4,6717,184,184,-4.09267043227789,184,0.697734861269013,0.801102258307204
