"sim.id","model","name","LH","aicc","delta.aicc","w","tau0","gamma","lamb0","mu0","alpha","beta","eps"
"5537","1","Equilibrium constant rate",9626.84113447828,-19251.6807753046,183.599201954301,0,0.27049,NA,NA,NA,NA,NA,NA
"5537","2","Equilibrium variable rate",9653.07255149391,-19302.140620358,133.139356900872,0,0.246456787887081,0.00776021334447124,NA,NA,NA,NA,NA
"5537","3","Birth-death constant rates (coalescent approx)",9653.07263797108,-19302.1407933123,133.139183946547,0,NA,NA,0.246398951601513,0.238624030838219,NA,NA,NA
"5537","4a","Birth-death varying speciation constant extinction (coalescent approx)",9130.90562403484,-18255.8022794598,1179.47769779907,0,NA,NA,0.131758900048648,2.45471723945701e-08,-0.0376460939558617,NA,NA
"5537","4b","Birth-death constant speciation varying extinction (coalescent approx)",9720.64447293438,-19435.2799772589,0,1,NA,NA,0.245261603974914,0.245248485254824,NA,-0.00151322475027334,NA
"5537","4c","Birth-death constant extinction fraction (coalescent approx)",9657.72765149176,-19309.4463343737,125.833642885227,0,NA,NA,0.24316715897373,NA,0.00461132049561659,NA,0.984583722776223
"5537","4d","Birth-death varying speciation and extinction (coalescent approx)",9564.25104478111,-19120.4871362912,314.792840967704,0,NA,NA,0.223641480189033,0.223627779396239,-0.029089695448518,-0.0531997819337274,NA
"5537","5","Pure birth constant speciation (coalescent approx)",7924.28349578698,-15846.565497922,3588.71447933691,0,NA,NA,0.0477890625,NA,NA,NA,NA
"5537","6","Pure birth varying speciation (coalescent approx)",9130.90571672285,-18257.8069508159,1177.473026443,0,NA,NA,0.131802496958505,NA,-0.0376636418882724,NA,NA
"5537-30000","1","Equilibrium constant rate",6736.69819030249,-13471.3948847187,935.214842214627,0,0.09249,NA,NA,NA,NA,NA,NA
"5537-30000","2","Equilibrium variable rate",6992.92952572195,-13981.8545621061,424.755164827218,0,0.0596656125094633,0.0204513520000159,NA,NA,NA,NA,NA
"5537-30000","3","Birth-death constant rates (coalescent approx)",6992.93039829152,-13981.8563072452,424.753419688081,0,NA,NA,0.0597125027383024,0.0392999328665227,NA,NA,NA
"5537-30000","4a","Birth-death varying speciation constant extinction (coalescent approx)",7206.30935448461,-14406.6097269333,0,1,NA,NA,0.0628044135691682,0.0628044016496923,0.00681111690845897,NA,NA
"5537-30000","4b","Birth-death constant speciation varying extinction (coalescent approx)",7184.41652546531,-14362.8240688947,43.7856580385942,0,NA,NA,0.0689966997074936,0.068996697041529,NA,-0.0117443081770178,NA
"5537-30000","4c","Birth-death constant extinction fraction (coalescent approx)",7054.04860622277,-14102.0882304096,304.521496523683,0,NA,NA,0.0560261214799943,NA,0.0128813051463992,NA,0.874582515074612
"5537-30000","4d","Birth-death varying speciation and extinction (coalescent approx)",7098.52369206124,-14189.0324084579,217.577318475362,0,NA,NA,0.0463867110464566,0.0463867089403933,0.00398866343303588,-0.0159367115744175,NA
"5537-30000","5","Pure birth constant speciation (coalescent approx)",6821.91440592155,-13641.8273159568,764.782410976499,0,NA,NA,0.0342734375,NA,NA,NA,NA
"5537-30000","6","Pure birth varying speciation (coalescent approx)",6854.42486547281,-13704.8452416078,701.764485325486,0,NA,NA,0.0411159944236279,NA,-0.0056221847012639,NA,NA
"5538","1","Equilibrium constant rate",9518.37714462906,-19034.7527916917,178.441037309531,0,0.26297,NA,NA,NA,NA,NA,NA
"5538","2","Equilibrium variable rate",9542.94264467308,-19081.8807949641,131.313034037055,0,0.240153272434901,0.00730765423742896,NA,NA,NA,NA,NA
"5538","3","Birth-death constant rates (coalescent approx)",9542.94290568308,-19081.8813169841,131.312512017055,0,NA,NA,0.240068073893819,0.232734916918213,NA,NA,NA
"5538","4a","Birth-death varying speciation constant extinction (coalescent approx)",9028.65929113237,-18051.3095901329,1161.88423886833,0,NA,NA,0.129381836208621,2.57037570270409e-08,-0.0372110589915423,NA,NA
"5538","4b","Birth-death constant speciation varying extinction (coalescent approx)",9609.60141056654,-19213.1938290012,0,1,NA,NA,0.236706643160875,0.236706642637231,NA,-0.0014160128585687,NA
"5538","4c","Birth-death constant extinction fraction (coalescent approx)",9547.25399887181,-19088.4990056117,124.694823389451,0,NA,NA,0.236989868693172,NA,0.00434520313024324,NA,0.984961176377996
"5538","4d","Birth-death varying speciation and extinction (coalescent approx)",9403.91487678913,-18799.8147610745,413.379067926686,0,NA,NA,0.168167400613143,0.161855139622249,-0.0158607082769787,-0.0303365319749397,NA
"5538","5","Pure birth constant speciation (coalescent approx)",7828.75964223022,-15655.517786894,3557.6760421072,0,NA,NA,0.046703125,NA,NA,NA,NA
"5538","6","Pure birth varying speciation (coalescent approx)",9028.6593044637,-18053.3141145454,1159.87971445582,0,NA,NA,0.129377489779401,NA,-0.0372069512637599,NA,NA
"5538-30000","1","Equilibrium constant rate",6758.84027791906,-13515.6790469735,948.17074655848,0,0.09617,NA,NA,NA,NA,NA,NA
"5538-30000","2","Equilibrium variable rate",7033.01188656292,-14062.019244824,401.830548708063,0,0.0614626322745906,0.021984452890474,NA,NA,NA,NA,NA
"5538-30000","3","Birth-death constant rates (coalescent approx)",7033.01203019998,-14062.0195320981,401.830261433945,0,NA,NA,0.0614319249131224,0.0394408767693567,NA,NA,NA
"5538-30000","4a","Birth-death varying speciation constant extinction (coalescent approx)",7234.92942677734,-14463.849793532,0,1,NA,NA,0.0659582931027171,0.0659582908607109,0.0069597343936217,NA,NA
"5538-30000","4b","Birth-death constant speciation varying extinction (coalescent approx)",7179.85266104389,-14353.6962620651,110.153531466887,0,NA,NA,0.0600696794474113,0.0600696789471451,NA,-0.0199866223993947,NA
"5538-30000","4c","Birth-death constant extinction fraction (coalescent approx)",7094.96190631643,-14183.9147526102,279.935040921824,0,NA,NA,0.0581706845096902,NA,0.0137234511989486,NA,0.874922591954284
"5538-30000","4d","Birth-death varying speciation and extinction (coalescent approx)",7167.81122456684,-14327.6073433935,136.242450138529,0,NA,NA,0.0543337425291673,0.054322545606828,0.020495144579858,0.018693018210108,NA
"5538-30000","5","Pure birth constant speciation (coalescent approx)",6870.71933615577,-13739.437163447,724.412630085064,0,NA,NA,0.0358828125,NA,NA,NA,NA
"5538-30000","6","Pure birth varying speciation (coalescent approx)",6904.03680451684,-13804.0690807318,659.780712800235,0,NA,NA,0.0429704234996229,NA,-0.00573669227752274,NA,NA
"5539","1","Equilibrium constant rate",9629.18471825249,-19256.3679467471,132.187834507266,0,0.26753,NA,NA,NA,NA,NA,NA
"5539","2","Equilibrium variable rate",9651.81371306317,-19299.6229551874,88.9328260668772,0,0.245538125704315,0.00698235881078262,NA,NA,NA,NA,NA
"5539","3","Birth-death constant rates (coalescent approx)",9651.81386092506,-19299.6232509112,88.9325303430924,0,NA,NA,0.24557408710519,0.238609397426165,NA,NA,NA
"5539","4a","Birth-death varying speciation constant extinction (coalescent approx)",9130.39212210366,-18254.7752989967,1133.7804822576,0,NA,NA,0.131325939523872,1.75412291088175e-08,-0.0376078021902665,NA,NA
"5539","4b","Birth-death constant speciation varying extinction (coalescent approx)",9689.31143186342,-19372.6139185163,15.9418627380655,0,NA,NA,0.212845701090703,0.212845699808401,NA,-0.00216199383934508,NA
"5539","4c","Birth-death constant extinction fraction (coalescent approx)",9655.66677379644,-19305.3246023823,83.2311788720253,0,NA,NA,0.242641710667975,NA,0.00411536879915046,NA,0.986015731913665
"5539","4d","Birth-death varying speciation and extinction (coalescent approx)",9698.28534774871,-19388.5557812543,0,1,NA,NA,0.220415737719477,0.220415718355401,0.00307697770503266,0.00192017965515347,NA
"5539","5","Pure birth constant speciation (coalescent approx)",7863.09481153079,-15724.1881333037,3664.36764795067,0,NA,NA,0.046390625,NA,NA,NA,NA
"5539","6","Pure birth varying speciation (coalescent approx)",9130.39219206979,-18256.7799132007,1131.77586805363,0,NA,NA,0.131351395101919,NA,-0.0376216458123592,NA,NA
"5539-30000","1","Equilibrium constant rate",6880.54895628649,-13759.096427792,862.140334562462,0,0.09505,NA,NA,NA,NA,NA,NA
"5539-30000","2","Equilibrium variable rate",7104.03172036451,-14204.058984732,417.177777622461,0,0.0633443209510582,0.0188588080839726,NA,NA,NA,NA,NA
"5539-30000","3","Birth-death constant rates (coalescent approx)",7104.03186068844,-14204.0592653799,417.177496974591,0,NA,NA,0.0633806306913796,0.0445394878797998,NA,NA,NA
"5539-30000","4a","Birth-death varying speciation constant extinction (coalescent approx)",7313.62283882953,-14621.2367623544,0,1,NA,NA,0.0656838302128794,0.0656838291226537,0.0062890842401444,NA,NA
"5539-30000","4b","Birth-death constant speciation varying extinction (coalescent approx)",7298.92876396545,-14591.8486126263,29.3881497281473,0,NA,NA,0.0714379337021296,0.0714379328452353,NA,-0.0105523030976612,NA
"5539-30000","4c","Birth-death constant extinction fraction (coalescent approx)",7158.32046215013,-14310.6320089957,310.604753358788,0,NA,NA,0.0594466785996873,NA,0.0118929872853728,NA,0.885045771023724
"5539-30000","4d","Birth-death varying speciation and extinction (coalescent approx)",7301.41810482403,-14594.8213452854,26.4154170690763,0,NA,NA,0.0710535996141071,0.0710535522049407,0.000976641236707069,-0.00797380328642252,NA
"5539-30000","5","Pure birth constant speciation (coalescent approx)",6890.54070923924,-13779.0799336975,842.156828656965,0,NA,NA,0.034140625,NA,NA,NA,NA
"5539-30000","6","Pure birth varying speciation (coalescent approx)",6939.19295228313,-13874.3814485692,746.855313785207,0,NA,NA,0.0426786407437176,NA,-0.00688522602804005,NA,NA
"5540","1","Equilibrium constant rate",9494.0932224877,-18986.184954107,189.241610577697,0,0.25529,NA,NA,NA,NA,NA,NA
"5540","2","Equilibrium variable rate",9521.42403546337,-19038.8435966538,136.582968030852,0,0.231892213262454,0.00757478793325364,NA,NA,NA,NA,NA
"5540","3","Birth-death constant rates (coalescent approx)",9521.42416302518,-19038.8438517774,136.582712907239,0,NA,NA,0.231969375226274,0.22439023363371,NA,NA,NA
"5540","4a","Birth-death varying speciation constant extinction (coalescent approx)",9008.84122534855,-18011.6734988135,1163.75306587119,0,NA,NA,0.124757036345064,6.85571518794011e-10,-0.0356449187641227,NA,NA
"5540","4b","Birth-death constant speciation varying extinction (coalescent approx)",9590.71775828415,-19175.4265646847,0,1,NA,NA,0.231485257070947,0.231451377829686,NA,-0.00147992353297808,NA
"5540","4c","Birth-death constant extinction fraction (coalescent approx)",9526.2753154601,-19046.5416790366,128.884885648084,0,NA,NA,0.228821002764833,NA,0.00450274280947612,NA,0.984070335854835
"5540","4d","Birth-death varying speciation and extinction (coalescent approx)",9492.78378586203,-18977.5526463509,197.873918333738,0,NA,NA,0.209590785921622,0.194141714876395,-0.0185648828724504,-0.0254574427701095,NA
"5540","5","Pure birth constant speciation (coalescent approx)",7826.31355431369,-15650.625617759,3524.80094692571,0,NA,NA,0.045765625,NA,NA,NA,NA
"5540","6","Pure birth varying speciation (coalescent approx)",9008.84122853924,-18013.6779828056,1161.74858187911,0,NA,NA,0.124749085956208,NA,-0.0356384814258176,NA,NA
"5540-30000","1","Equilibrium constant rate",6972.32604905389,-13942.6506105659,944.256618457301,0,0.09905,NA,NA,NA,NA,NA,NA
"5540-30000","2","Equilibrium variable rate",7251.28954747204,-14498.5746306584,388.332598364876,0,0.0636567881293193,0.022325143991254,NA,NA,NA,NA,NA
"5540-30000","3","Birth-death constant rates (coalescent approx)",7251.2897897426,-14498.5751151995,388.332113823764,0,NA,NA,0.0636080112868685,0.041269542564189,NA,NA,NA
